TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME,REF_xmin,AUGMENT_TYPE,AUGMENT_DIRECTION,ATTACK_POWER_TYPE
10.0,52180,AGENT,2118.22,601.518,PIT,1942.350173970859,0,1,6.0
10.1,52180,AGENT,2117.25,601.287,PIT,1942.350173970859,0,1,6.0
10.2,52180,AGENT,2116.27,601.056,PIT,1942.350173970859,0,1,6.0
10.3,52180,AGENT,2115.29,600.825,PIT,1942.350173970859,0,1,6.0
10.4,52180,AGENT,2114.31,600.594,PIT,1942.350173970859,0,1,6.0
10.5,52180,AGENT,2113.34,600.364,PIT,1942.350173970859,0,1,6.0
10.6,52180,AGENT,2112.36,600.134,PIT,1942.350173970859,0,1,6.0
10.7,52180,AGENT,2111.38,599.905,PIT,1942.350173970859,0,1,6.0
10.8,52180,AGENT,2110.4,599.677,PIT,1942.350173970859,0,1,6.0
10.9,52180,AGENT,2109.42,599.45,PIT,1942.350173970859,0,1,6.0
11.0,52180,AGENT,2108.44,599.224,PIT,1942.350173970859,0,1,6.0
11.1,52180,AGENT,2107.47,598.999,PIT,1942.350173970859,0,1,6.0
11.2,52180,AGENT,2106.49,598.775,PIT,1942.350173970859,0,1,6.0
11.3,52180,AGENT,2105.51,598.553,PIT,1942.350173970859,0,1,6.0
11.4,52180,AGENT,2104.53,598.333,PIT,1942.350173970859,0,1,6.0
11.5,52180,AGENT,2103.55,598.115,PIT,1942.350173970859,0,1,6.0
11.6,52180,AGENT,2102.56,597.899,PIT,1942.350173970859,0,1,6.0
11.7,52180,AGENT,2101.58,597.685,PIT,1942.350173970859,0,1,6.0
11.8,52180,AGENT,2100.6,597.474,PIT,1942.350173970859,0,1,6.0
11.9,52180,AGENT,2099.62,597.266,PIT,1942.350173970859,0,1,6.0
12.0,52180,AGENT,2098.64,597.06,PIT,1942.350173970859,0,1,6.0
12.1,52180,AGENT,2097.65,596.857,PIT,1942.350173970859,0,1,6.0
12.2,52180,AGENT,2096.67,596.657,PIT,1942.350173970859,0,1,6.0
12.3,52180,AGENT,2095.68,596.46,PIT,1942.350173970859,0,1,6.0
12.4,52180,AGENT,2094.7,596.267,PIT,1942.350173970859,0,1,6.0
12.5,52180,AGENT,2093.71,596.076,PIT,1942.350173970859,0,1,6.0
12.6,52180,AGENT,2092.73,595.889,PIT,1942.350173970859,0,1,6.0
12.7,52180,AGENT,2091.74,595.705,PIT,1942.350173970859,0,1,6.0
12.8,52180,AGENT,2090.75,595.525,PIT,1942.350173970859,0,1,6.0
12.9,52180,AGENT,2089.77,595.348,PIT,1942.350173970859,0,1,6.0
13.0,52180,AGENT,2088.78,595.174,PIT,1942.350173970859,0,1,6.0
13.1,52180,AGENT,2087.79,595.003,PIT,1942.350173970859,0,1,6.0
13.2,52180,AGENT,2086.8,594.835,PIT,1942.350173970859,0,1,6.0
13.3,52180,AGENT,2085.81,594.67,PIT,1942.350173970859,0,1,6.0
13.4,52180,AGENT,2084.82,594.508,PIT,1942.350173970859,0,1,6.0
13.5,52180,AGENT,2083.83,594.348,PIT,1942.350173970859,0,1,6.0
13.6,52180,AGENT,2082.84,594.191,PIT,1942.350173970859,0,1,6.0
13.7,52180,AGENT,2081.85,594.036,PIT,1942.350173970859,0,1,6.0
13.8,52180,AGENT,2080.86,593.884,PIT,1942.350173970859,0,1,6.0
13.9,52180,AGENT,2079.87,593.733,PIT,1942.350173970859,0,1,6.0
14.0,52180,AGENT,2078.88,593.584,PIT,1942.350173970859,0,1,6.0
14.1,52180,AGENT,2077.88,593.436,PIT,1942.350173970859,0,1,6.0
14.2,52180,AGENT,2076.89,593.29,PIT,1942.350173970859,0,1,6.0
14.3,52180,AGENT,2075.9,593.145,PIT,1942.350173970859,0,1,6.0
14.4,52180,AGENT,2074.91,593.001,PIT,1942.350173970859,0,1,6.0
14.5,52180,AGENT,2073.91,592.858,PIT,1942.350173970859,0,1,6.0
14.6,52180,AGENT,2072.92,592.716,PIT,1942.350173970859,0,1,6.0
14.7,52180,AGENT,2071.93,592.575,PIT,1942.350173970859,0,1,6.0
14.8,52180,AGENT,2070.93,592.434,PIT,1942.350173970859,0,1,6.0
14.9,52180,AGENT,2069.94,592.293,PIT,1942.350173970859,0,1,6.0
