TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
98.0,52180,AGENT,3846.67,2227.93,PIT
98.1,52180,AGENT,3847.29,2228.29,PIT
98.2,52180,AGENT,3847.91,2228.63,PIT
98.3,52180,AGENT,3848.53,2228.97,PIT
98.4,52180,AGENT,3849.16,2229.3,PIT
98.5,52180,AGENT,3849.79,2229.62,PIT
98.6,52180,AGENT,3850.42,2229.92,PIT
98.7,52180,AGENT,3851.04,2230.21,PIT
98.8,52180,AGENT,3851.67,2230.48,PIT
98.9,52180,AGENT,3852.28,2230.73,PIT
99.0,52180,AGENT,3852.89,2230.97,PIT
99.1,52180,AGENT,3853.49,2231.19,PIT
99.2,52180,AGENT,3854.08,2231.39,PIT
99.3,52180,AGENT,3854.66,2231.57,PIT
99.4,52180,AGENT,3855.23,2231.73,PIT
99.5,52180,AGENT,3855.79,2231.86,PIT
99.6,52180,AGENT,3856.34,2231.97,PIT
99.7,52180,AGENT,3856.88,2232.05,PIT
99.8,52180,AGENT,3857.41,2232.1,PIT
99.9,52180,AGENT,3857.93,2232.11,PIT
100.0,52180,AGENT,3858.44,2232.1,PIT
100.1,52180,AGENT,3858.94,2232.06,PIT
100.2,52180,AGENT,3859.42,2231.99,PIT
100.3,52180,AGENT,3859.9,2231.89,PIT
100.4,52180,AGENT,3860.35,2231.76,PIT
100.5,52180,AGENT,3860.8,2231.6,PIT
100.6,52180,AGENT,3861.24,2231.41,PIT
100.7,52180,AGENT,3861.66,2231.19,PIT
100.8,52180,AGENT,3862.07,2230.94,PIT
100.9,52180,AGENT,3862.46,2230.66,PIT
101.0,52180,AGENT,3862.84,2230.36,PIT
101.1,52180,AGENT,3863.21,2230.03,PIT
101.2,52180,AGENT,3863.56,2229.69,PIT
101.3,52180,AGENT,3863.91,2229.32,PIT
101.4,52180,AGENT,3864.23,2228.93,PIT
101.5,52180,AGENT,3864.55,2228.52,PIT
101.6,52180,AGENT,3864.86,2228.09,PIT
101.7,52180,AGENT,3865.15,2227.65,PIT
101.8,52180,AGENT,3865.44,2227.19,PIT
101.9,52180,AGENT,3865.72,2226.71,PIT
102.0,52180,AGENT,3865.99,2226.22,PIT
102.1,52180,AGENT,3866.25,2225.72,PIT
102.2,52180,AGENT,3866.5,2225.2,PIT
102.3,52180,AGENT,3866.75,2224.67,PIT
102.4,52180,AGENT,3867.0,2224.12,PIT
102.5,52180,AGENT,3867.24,2223.56,PIT
102.6,52180,AGENT,3867.47,2222.99,PIT
102.7,52180,AGENT,3867.7,2222.41,PIT
102.8,52180,AGENT,3867.93,2221.82,PIT
102.9,52180,AGENT,3868.16,2221.21,PIT
