TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
26.0,52180,AGENT,897.858,2735.81,MIA
26.1,52180,AGENT,899.191,2735.86,MIA
26.2,52180,AGENT,900.524,2735.91,MIA
26.3,52180,AGENT,901.857,2735.96,MIA
26.4,52180,AGENT,903.189,2736.0,MIA
26.5,52180,AGENT,904.522,2736.05,MIA
26.6,52180,AGENT,905.855,2736.1,MIA
26.7,52180,AGENT,907.188,2736.14,MIA
26.8,52180,AGENT,908.521,2736.19,MIA
26.9,52180,AGENT,909.853,2736.23,MIA
27.0,52180,AGENT,911.186,2736.28,MIA
27.1,52180,AGENT,912.519,2736.32,MIA
27.2,52180,AGENT,913.852,2736.37,MIA
27.3,52180,AGENT,915.185,2736.42,MIA
27.4,52180,AGENT,916.517,2736.46,MIA
27.5,52180,AGENT,917.85,2736.51,MIA
27.6,52180,AGENT,919.183,2736.55,MIA
27.7,52180,AGENT,920.516,2736.6,MIA
27.8,52180,AGENT,921.849,2736.64,MIA
27.9,52180,AGENT,923.181,2736.68,MIA
28.0,52180,AGENT,924.514,2736.73,MIA
28.1,52180,AGENT,925.847,2736.77,MIA
28.2,52180,AGENT,927.18,2736.82,MIA
28.3,52180,AGENT,928.513,2736.86,MIA
28.4,52180,AGENT,929.846,2736.91,MIA
28.5,52180,AGENT,931.179,2736.95,MIA
28.6,52180,AGENT,932.511,2736.99,MIA
28.7,52180,AGENT,933.844,2737.04,MIA
28.8,52180,AGENT,935.177,2737.08,MIA
28.9,52180,AGENT,936.51,2737.12,MIA
29.0,52180,AGENT,937.843,2737.17,MIA
29.1,52180,AGENT,939.176,2737.21,MIA
29.2,52180,AGENT,940.509,2737.25,MIA
29.3,52180,AGENT,941.841,2737.3,MIA
29.4,52180,AGENT,943.174,2737.34,MIA
29.5,52180,AGENT,944.507,2737.38,MIA
29.6,52180,AGENT,945.84,2737.43,MIA
29.7,52180,AGENT,947.173,2737.47,MIA
29.8,52180,AGENT,948.506,2737.51,MIA
29.9,52180,AGENT,949.839,2737.56,MIA
30.0,52180,AGENT,951.171,2737.6,MIA
30.1,52180,AGENT,952.504,2737.65,MIA
30.2,52180,AGENT,953.837,2737.69,MIA
30.3,52180,AGENT,955.17,2737.73,MIA
30.4,52180,AGENT,956.503,2737.78,MIA
30.5,52180,AGENT,957.836,2737.82,MIA
30.6,52180,AGENT,959.169,2737.86,MIA
30.7,52180,AGENT,960.501,2737.91,MIA
30.8,52180,AGENT,961.834,2737.95,MIA
30.9,52180,AGENT,963.167,2738.0,MIA
