TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME,REF_xmin,AUGMENT_TYPE,AUGMENT_DIRECTION,ATTACK_POWER_TYPE
24.0,52180,AGENT,69.4106,3583.23,MIA,-71.61681719095213,0,0,2.0
24.1,52180,AGENT,69.9915,3583.37,MIA,-71.61681719095213,0,0,2.0
24.2,52180,AGENT,70.5724,3583.51,MIA,-71.61681719095213,0,0,2.0
24.3,52180,AGENT,71.1532,3583.65,MIA,-71.61681719095213,0,0,2.0
24.4,52180,AGENT,71.7341,3583.79,MIA,-71.61681719095213,0,0,2.0
24.5,52180,AGENT,72.3149,3583.93,MIA,-71.61681719095213,0,0,2.0
24.6,52180,AGENT,72.8958,3584.07,MIA,-71.61681719095213,0,0,2.0
24.7,52180,AGENT,73.4766,3584.21,MIA,-71.61681719095213,0,0,2.0
24.8,52180,AGENT,74.0574,3584.35,MIA,-71.61681719095213,0,0,2.0
24.9,52180,AGENT,74.6383,3584.49,MIA,-71.61681719095213,0,0,2.0
25.0,52180,AGENT,75.2191,3584.63,MIA,-71.61681719095213,0,0,2.0
25.1,52180,AGENT,75.7999,3584.77,MIA,-71.61681719095213,0,0,2.0
25.2,52180,AGENT,76.3806,3584.91,MIA,-71.61681719095213,0,0,2.0
25.3,52180,AGENT,76.9614,3585.05,MIA,-71.61681719095213,0,0,2.0
25.4,52180,AGENT,77.5421,3585.19,MIA,-71.61681719095213,0,0,2.0
25.5,52180,AGENT,78.1229,3585.33,MIA,-71.61681719095213,0,0,2.0
25.6,52180,AGENT,78.7036,3585.47,MIA,-71.61681719095213,0,0,2.0
25.7,52180,AGENT,79.2843,3585.61,MIA,-71.61681719095213,0,0,2.0
25.8,52180,AGENT,79.865,3585.75,MIA,-71.61681719095213,0,0,2.0
25.9,52180,AGENT,80.4456,3585.89,MIA,-71.61681719095213,0,0,2.0
26.0,52180,AGENT,81.0262,3586.04,MIA,-71.61681719095213,0,0,2.0
26.1,52180,AGENT,81.6069,3586.18,MIA,-71.61681719095213,0,0,2.0
26.2,52180,AGENT,82.1875,3586.32,MIA,-71.61681719095213,0,0,2.0
26.3,52180,AGENT,82.7681,3586.46,MIA,-71.61681719095213,0,0,2.0
26.4,52180,AGENT,83.3487,3586.6,MIA,-71.61681719095213,0,0,2.0
26.5,52180,AGENT,83.9293,3586.74,MIA,-71.61681719095213,0,0,2.0
26.6,52180,AGENT,84.5099,3586.88,MIA,-71.61681719095213,0,0,2.0
26.7,52180,AGENT,85.0906,3587.02,MIA,-71.61681719095213,0,0,2.0
26.8,52180,AGENT,85.6712,3587.16,MIA,-71.61681719095213,0,0,2.0
26.9,52180,AGENT,86.2519,3587.3,MIA,-71.61681719095213,0,0,2.0
27.0,52180,AGENT,86.8327,3587.45,MIA,-71.61681719095213,0,0,2.0
27.1,52180,AGENT,87.4135,3587.59,MIA,-71.61681719095213,0,0,2.0
27.2,52180,AGENT,87.9943,3587.73,MIA,-71.61681719095213,0,0,2.0
27.3,52180,AGENT,88.5753,3587.87,MIA,-71.61681719095213,0,0,2.0
27.4,52180,AGENT,89.1563,3588.01,MIA,-71.61681719095213,0,0,2.0
27.5,52180,AGENT,89.7375,3588.14,MIA,-71.61681719095213,0,0,2.0
27.6,52180,AGENT,90.3188,3588.28,MIA,-71.61681719095213,0,0,2.0
27.7,52180,AGENT,90.9002,3588.42,MIA,-71.61681719095213,0,0,2.0
27.8,52180,AGENT,91.4818,3588.56,MIA,-71.61681719095213,0,0,2.0
27.9,52180,AGENT,92.0636,3588.69,MIA,-71.61681719095213,0,0,2.0
28.0,52180,AGENT,92.6455,3588.83,MIA,-71.61681719095213,0,0,2.0
28.1,52180,AGENT,93.2277,3588.96,MIA,-71.61681719095213,0,0,2.0
28.2,52180,AGENT,93.8101,3589.1,MIA,-71.61681719095213,0,0,2.0
28.3,52180,AGENT,94.3927,3589.23,MIA,-71.61681719095213,0,0,2.0
28.4,52180,AGENT,94.9755,3589.36,MIA,-71.61681719095213,0,0,2.0
28.5,52180,AGENT,95.5586,3589.49,MIA,-71.61681719095213,0,0,2.0
28.6,52180,AGENT,96.142,3589.62,MIA,-71.61681719095213,0,0,2.0
28.7,52180,AGENT,96.7256,3589.75,MIA,-71.61681719095213,0,0,2.0
28.8,52180,AGENT,97.3095,3589.87,MIA,-71.61681719095213,0,0,2.0
28.9,52180,AGENT,97.8937,3590.0,MIA,-71.61681719095213,0,0,2.0
