TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
28.0,52180,AGENT,715.21,3006.13,MIA
28.1,52180,AGENT,715.23,3005.52,MIA
28.2,52180,AGENT,715.25,3004.92,MIA
28.3,52180,AGENT,715.27,3004.31,MIA
28.4,52180,AGENT,715.291,3003.71,MIA
28.5,52180,AGENT,715.311,3003.1,MIA
28.6,52180,AGENT,715.331,3002.5,MIA
28.7,52180,AGENT,715.352,3001.89,MIA
28.8,52180,AGENT,715.372,3001.28,MIA
28.9,52180,AGENT,715.393,3000.68,MIA
29.0,52180,AGENT,715.413,3000.07,MIA
29.1,52180,AGENT,715.434,2999.47,MIA
29.2,52180,AGENT,715.454,2998.86,MIA
29.3,52180,AGENT,715.475,2998.26,MIA
29.4,52180,AGENT,715.496,2997.65,MIA
29.5,52180,AGENT,715.517,2997.05,MIA
29.6,52180,AGENT,715.538,2996.44,MIA
29.7,52180,AGENT,715.559,2995.84,MIA
29.8,52180,AGENT,715.58,2995.23,MIA
29.9,52180,AGENT,715.601,2994.62,MIA
30.0,52180,AGENT,715.622,2994.02,MIA
30.1,52180,AGENT,715.643,2993.41,MIA
30.2,52180,AGENT,715.665,2992.81,MIA
30.3,52180,AGENT,715.686,2992.2,MIA
30.4,52180,AGENT,715.708,2991.6,MIA
30.5,52180,AGENT,715.729,2990.99,MIA
30.6,52180,AGENT,715.751,2990.39,MIA
30.7,52180,AGENT,715.773,2989.78,MIA
30.8,52180,AGENT,715.794,2989.18,MIA
30.9,52180,AGENT,715.816,2988.57,MIA
31.0,52180,AGENT,715.838,2987.96,MIA
31.1,52180,AGENT,715.86,2987.36,MIA
31.2,52180,AGENT,715.881,2986.75,MIA
31.3,52180,AGENT,715.903,2986.15,MIA
31.4,52180,AGENT,715.925,2985.54,MIA
31.5,52180,AGENT,715.947,2984.94,MIA
31.6,52180,AGENT,715.969,2984.33,MIA
31.7,52180,AGENT,715.991,2983.73,MIA
31.8,52180,AGENT,716.013,2983.12,MIA
31.9,52180,AGENT,716.034,2982.52,MIA
32.0,52180,AGENT,716.056,2981.91,MIA
32.1,52180,AGENT,716.078,2981.3,MIA
32.2,52180,AGENT,716.099,2980.7,MIA
32.3,52180,AGENT,716.121,2980.09,MIA
32.4,52180,AGENT,716.142,2979.49,MIA
32.5,52180,AGENT,716.164,2978.88,MIA
32.6,52180,AGENT,716.185,2978.28,MIA
32.7,52180,AGENT,716.206,2977.67,MIA
32.8,52180,AGENT,716.228,2977.07,MIA
32.9,52180,AGENT,716.249,2976.46,MIA
